 variables ="x","u","ue","error"
 zone T=           1
   3.5342917352885173        7.6624072051420994E-002   7.4195603195280416E-002   2.4284688561405782E-003
   3.6324665057131984        8.0496304884040609E-002   7.9246409829149489E-002   1.2498950548911203E-003
   3.7306412761378791        8.0839739216145443E-002   8.1251821375183025E-002  -4.1208215903758283E-004
   3.8288160465625602        7.7532450260948918E-002   8.0134770992314641E-002  -2.6023207313657232E-003
   3.9269908169872414        7.0576393369582976E-002   7.5938186300308963E-002  -5.3617929307259865E-003
   4.0251655874119221        6.0095909293600078E-002   6.8823339695407909E-002  -8.7274304018078314E-003
   4.1233403578366037        4.6331634879097985E-002   5.9063650742585801E-002  -1.2732015863487815E-002
   4.2215151282612844        2.9630141269627458E-002   4.7034178815003172E-002  -1.7404037545375714E-002
   4.3196898986859651        1.0429796372331358E-002   3.3197209772631339E-002  -2.2767413400299981E-002
   4.4178646691106467       -1.0756500345433618E-002   1.8084490575906886E-002  -2.8840990921340504E-002
   4.5160394395353274       -3.3360941734035032E-002   2.2767945482496201E-003  -3.5637736282284650E-002
   4.6142142099600090       -5.6781941602608903E-002  -1.3618397417055929E-002  -4.3163544185552974E-002
   4.7123889803846897       -8.0405869174374839E-002  -2.8990242006909136E-002  -5.1415627167465699E-002
   4.8105637508093704      -0.10362848700033116       -4.3248007854351844E-002  -6.0380479145979313E-002
   4.9087385212340520      -0.12587522733965892       -5.5843777013714166E-002  -7.0031450325944752E-002
   5.0069132916587327      -0.14661951556030103       -6.6293501139990288E-002  -8.0326014420310746E-002
   5.1050880620834143      -0.16539844720890287       -7.4195603195280416E-002  -9.1202844013622456E-002
   5.2032628325080950      -0.18182521912210572       -7.9246409829149503E-002 -0.10257880929295622     
   5.3014376029327757      -0.19559772667703113       -8.1251821375183025E-002 -0.11434590530184810     
   5.3996123733574573      -0.20650244829734637       -8.0134770992314641E-002 -0.12636767730503173     
   5.4977871437821380      -0.21441150192179595       -7.5938186300308935E-002 -0.13847331562148701     
   5.5959619142068187      -0.21926669884683150       -6.8823339695407895E-002 -0.15044335915142359     
   5.6941366846315002      -0.22103208667136867       -5.9063650742585815E-002 -0.16196843592878285     
   5.7923114550561809      -0.21956017995481011       -4.7034178815003186E-002 -0.17252600113980693     
   5.8904862254808616      -0.21421214000697525       -3.3197209772631353E-002 -0.18101493023434390     
   5.9886609959055432      -0.20277252039073662       -1.8084490575906893E-002 -0.18468802981482974     
   6.0868357663302239      -0.17835251369402624       -2.2767945482496301E-003 -0.17607571914577660     
   6.1850105367549055      -0.12060598817918521        1.3618397417055917E-002 -0.13422438559624111     
   6.2831853071795862        2.8990242006909125E-002   2.8990242006909125E-002   0.0000000000000000     
 variables ="x","u","ue","error"
 zone T=           2
   0.0000000000000000        5.1966017202752018E-003   5.1966017202752018E-003   0.0000000000000000     
   9.8174770424681035E-002   2.1041969581848310E-002   2.0921976196711427E-002   1.1999338513688299E-004
  0.19634954084936207        3.6116450509718165E-002   3.5843330861087597E-002   2.7311964863056815E-004
  0.29452431127404310        4.9830854994334428E-002   4.9387246421643563E-002   4.4360857269086507E-004
  0.39269908169872414        6.1647145757867131E-002   6.1033237798902754E-002   6.1390795896437700E-004
  0.49087385212340517        7.1099538981036034E-002   7.0333756075384099E-002   7.6578290565193496E-004
  0.58904862254808621        7.7812856964230806E-002   7.6931387549513286E-002   8.8146941471752005E-004
  0.68722339297276724        8.1517409359353990E-002   8.0572588943733897E-002   9.4482041562009289E-004
  0.78539816339744828        8.2059813030144660E-002   8.1117430930475229E-002   9.4238209966943098E-004
  0.88357293382212931        7.9409316882556133E-002   7.8544975537737802E-002   8.6434134481833125E-004
  0.98174770424681035        7.3659371636631860E-002   7.2954080783614789E-002   7.0529085301707095E-004
   1.0799224746714913        6.5024368776019428E-002   6.4559601618097387E-002   4.6476715792204137E-004
   1.1780972450961724        5.3831660663611565E-002   5.3684133167838224E-002   1.4752749577334051E-004
   1.2762720155208536        4.0509157745310942E-002   4.0745613586347644E-002  -2.3645584103670209E-004
   1.3744467859455345        2.5568971696453807E-002   2.6241262925137201E-002  -6.7229122868339361E-004
   1.4726215563702154        9.5877285189840903E-003   1.0728475245983389E-002  -1.1407467269992991E-003
   1.5707963267948966       -6.8156931368130516E-003  -5.1966017202751923E-003  -1.6190914165378593E-003
