 variables ="x","u","ue","error"
   0.0000000000000000      ,   0.0000000000000000      , -0.10991208241818995      ,  0.10991208241818995     
   9.8174770424681035E-002 ,   0.0000000000000000      ,   8.6108178288271511E-002 ,  -8.6108178288271511E-002
  0.19634954084936207      ,   0.0000000000000000      ,  0.27881934999313740      , -0.27881934999313740     
  0.29452431127404310      ,   0.0000000000000000      ,  0.46081565044145995      , -0.46081565044145995     
  0.39269908169872414      ,   0.0000000000000000      ,  0.62510306387171122      , -0.62510306387171122     
  0.49087385212340517      ,   0.0000000000000000      ,  0.76536811711920960      , -0.76536811711920960     
  0.58904862254808621      ,   0.0000000000000000      ,  0.87622050284920183      , -0.87622050284920183     
  0.68722339297276724      ,   0.0000000000000000      ,  0.95340022604481833      , -0.95340022604481833     
  0.78539816339744828      ,   0.0000000000000000      ,  0.99394131322653900      , -0.99394131322653900     
  0.88357293382212931      ,   0.0000000000000000      ,  0.99628579314967414      , -0.99628579314967414     
  0.98174770424681035      ,   0.0000000000000000      ,  0.96034356876557692      , -0.96034356876557692     
   1.0799224746714913      ,   0.0000000000000000      ,  0.88749587960069676      , -0.88749587960069676     
   1.1780972450961724      ,   0.0000000000000000      ,  0.78054222149618491      , -0.78054222149618491     
   1.2762720155208536      ,   0.0000000000000000      ,  0.64359276355269546      , -0.64359276355269546     
   1.3744467859455345      ,   0.0000000000000000      ,  0.48191039663685614      , -0.48191039663685614     
   1.4726215563702154      ,   0.0000000000000000      ,  0.30170848343672657      , -0.30170848343672657     
   1.5707963267948966      ,   0.0000000000000000      ,  0.10991208241819002      , -0.10991208241819002     
   1.6689710972195777      ,   0.0000000000000000      ,  -8.6108178288271664E-002 ,   8.6108178288271664E-002
   1.7671458676442586      ,   0.0000000000000000      , -0.27881934999313734      ,  0.27881934999313734     
   1.8653206380689396      ,   0.0000000000000000      , -0.46081565044145967      ,  0.46081565044145967     
   1.9634954084936207      ,   0.0000000000000000      , -0.62510306387171111      ,  0.62510306387171111     
   2.0616701789183018      ,   0.0000000000000000      , -0.76536811711920938      ,  0.76536811711920938     
   2.1598449493429825      ,   0.0000000000000000      , -0.87622050284920128      ,  0.87622050284920128     
   2.2580197197676637      ,   0.0000000000000000      , -0.95340022604481811      ,  0.95340022604481811     
   2.3561944901923448      ,   0.0000000000000000      , -0.99394131322653900      ,  0.99394131322653900     
   2.4543692606170260      ,   0.0000000000000000      , -0.99628579314967414      ,  0.99628579314967414     
   2.5525440310417071      ,   0.0000000000000000      , -0.96034356876557692      ,  0.96034356876557692     
   2.6507188014663878      ,   0.0000000000000000      , -0.88749587960069698      ,  0.88749587960069698     
   2.7488935718910690      ,   0.0000000000000000      , -0.78054222149618524      ,  0.78054222149618524     
   2.8470683423157501      ,   0.0000000000000000      , -0.64359276355269579      ,  0.64359276355269579     
   2.9452431127404308      ,   0.0000000000000000      , -0.48191039663685703      ,  0.48191039663685703     
   3.0434178831651120      ,   0.0000000000000000      , -0.30170848343672713      ,  0.30170848343672713     
   3.1415926535897931      ,   0.0000000000000000      , -0.10991208241819057      ,  0.10991208241819057     
   3.2397674240144743      ,   0.0000000000000000      ,   8.6108178288271095E-002 ,  -8.6108178288271095E-002
   3.3379421944391554      ,   0.0000000000000000      ,  0.27881934999313723      , -0.27881934999313723     
   3.4361169648638361      ,   0.0000000000000000      ,  0.46081565044145917      , -0.46081565044145917     
   3.5342917352885173      ,   0.0000000000000000      ,  0.62510306387171066      , -0.62510306387171066     
   3.6324665057131984      ,   0.0000000000000000      ,  0.76536811711920927      , -0.76536811711920927     
   3.7306412761378791      ,   0.0000000000000000      ,  0.87622050284920128      , -0.87622050284920128     
   3.8288160465625602      ,   0.0000000000000000      ,  0.95340022604481800      , -0.95340022604481800     
   3.9269908169872414      ,   0.0000000000000000      ,  0.99394131322653900      , -0.99394131322653900     
   4.0251655874119221      ,   0.0000000000000000      ,  0.99628579314967425      , -0.99628579314967425     
   4.1233403578366037      ,   0.0000000000000000      ,  0.96034356876557703      , -0.96034356876557703     
   4.2215151282612844      ,   0.0000000000000000      ,  0.88749587960069709      , -0.88749587960069709     
   4.3196898986859651      ,   0.0000000000000000      ,  0.78054222149618591      , -0.78054222149618591     
   4.4178646691106467      ,   0.0000000000000000      ,  0.64359276355269590      , -0.64359276355269590     
   4.5160394395353274      ,   0.0000000000000000      ,  0.48191039663685714      , -0.48191039663685714     
   4.6142142099600090      ,   0.0000000000000000      ,  0.30170848343672640      , -0.30170848343672640     
   4.7123889803846897      ,   0.0000000000000000      ,  0.10991208241819070      , -0.10991208241819070     
   4.8105637508093704      ,   0.0000000000000000      ,  -8.6108178288270082E-002 ,   8.6108178288270082E-002
   4.9087385212340520      ,   0.0000000000000000      , -0.27881934999313712      ,  0.27881934999313712     
   5.0069132916587327      ,   0.0000000000000000      , -0.46081565044145906      ,  0.46081565044145906     
   5.1050880620834143      ,   0.0000000000000000      , -0.62510306387171133      ,  0.62510306387171133     
   5.2032628325080950      ,   0.0000000000000000      , -0.76536811711920927      ,  0.76536811711920927     
   5.3014376029327757      ,   0.0000000000000000      , -0.87622050284920117      ,  0.87622050284920117     
   5.3996123733574573      ,   0.0000000000000000      , -0.95340022604481822      ,  0.95340022604481822     
   5.4977871437821380      ,   0.0000000000000000      , -0.99394131322653900      ,  0.99394131322653900     
   5.5959619142068187      ,   0.0000000000000000      , -0.99628579314967425      ,  0.99628579314967425     
   5.6941366846315002      ,   0.0000000000000000      , -0.96034356876557703      ,  0.96034356876557703     
