variables ="k","rms","rms/rms0"
1 31.738550025766312 0.4222954108390499 
2 20.07223297617559 0.26706991542618647 
3 14.946010564073642 0.19886326459262588 
4 11.972294627262942 0.15929666207818777 
5 9.899651642889351 0.1317192327407369 
6 8.295136000043493 0.11037044421564063 
7 6.985102725799294 0.09293987352760799 
8 5.888386895928634 0.0783475855505917 
9 4.9597244428403116 0.06599132189521495 
10 4.169987121316797 0.05548351840775393 
11 3.4983075827760755 0.046546525808849305 
12 2.928314070430529 0.03896251065137855 
13 2.4462263242796167 0.032548120496314885 
14 2.0399538162598203 0.027142485533547273 
15 1.6987259898050264 0.02260229875609653 
16 1.412963230133608 0.01880009916285822 
17 1.1742234681576664 0.01562356130005732 
18 0.9751503774240228 0.012974805998693053 
19 0.8094014147072206 0.010769442922881012 
20 0.671557165637549 0.008935364373438146 
21 0.5570204712920805 0.007411403122672139 
22 0.46191374423092174 0.006145966158940533 
23 0.38298057792204543 0.005095725556639131 
24 0.3174952971293878 0.004224415004210131 
25 0.2631821735753088 0.003501754932889873 
26 0.21814473140189597 0.00290251189468173 
27 0.18080477942656686 0.0024056873596185135 
28 0.14985038423458596 0.0019938254748046286 
29 0.12419181309460874 0.001652426865469826 
30 0.10292443538512998 0.0013694550220805584 
31 0.08529761263798732 0.0011349223686433763 
32 0.0706886901197958 0.0009405442092212499 
33 0.05858130249029978 0.0007794500751466041 
34 0.04854730824748885 0.000645943354843234 
35 0.04023176466918863 0.0005353013787952583 
36 0.033340443060658184 0.00044360930440824874 
37 0.027629461934900134 0.0003676221808995142 
38 0.022896683231089697 0.000304650472188392 
39 0.018974574451905313 0.0002524650844842754 
40 0.01572428863016156 0.00020921859763080186 
41 0.013030755378415523 0.00017337994935508335 
42 0.01079861097658582 0.00014368028328787144 
43 0.008948824483711162 0.00011906805789197709 
44 0.007415901084866518 9.867183575913371e-5 
45 0.006145564065049809 8.176944124986851e-5 
46 0.005092833589449979 6.776239781734532e-5 
47 0.004220434420469365 5.615474197984714e-5 
48 0.0034974762892366596 4.653546508154858e-5 
49 0.002898360255220922 3.856396192467651e-5 
50 0.002401872366708742 3.195797152229041e-5 
51 0.001990432552747508 2.6483583274205766e-5 
52 0.0016494721645811535 2.1946954881173938e-5 
53 0.0013669181348304577 1.818744885519195e-5 
54 0.0011327654943222424 1.5071944667313485e-5 
