 Varaibles = "X""Initial""Final"
   0.0000000000000000        0.0000000000000000        0.0000000000000000     
   9.9733100113961692E-002  0.19814614319939758        1.3635692527870984E-003
  0.19946620022792338       0.38843479627469474        4.4351023592017150E-003
  0.29919930034188508       0.56332005806362206        1.0389656322848783E-002
  0.39893240045584677       0.71586684925971844        2.0785493660329196E-002
  0.49866550056980846       0.84002592315077140        3.7478814603302511E-002
  0.59839860068377015       0.93087374864420425        6.2420856216729194E-002
  0.69813170079773190       0.98480775301220813        9.7342414611847658E-002
  0.79786480091169354       0.99968918200081625       0.14336810382326995     
  0.89759790102565518       0.97492791218182362       0.20063559920800153     
  0.99733100113961692       0.91150585231167314       0.26800972056935546     
   1.0970641012535787       0.81193800571585639       0.34296904664255073     
   1.1967972013675403       0.68017273777091936       0.42170568255949237     
   1.2965303014815019       0.52143520337949811       0.49942883837798652     
   1.3962634015954638       0.34202014332566849       0.57081695801782140     
   1.4959965017094254       0.14904226617617428       0.63053566424836105     
   1.5957296018233871       -4.9845885660697233E-002  0.67373590285599227     
   1.6954627019373487      -0.24675739769029362       0.69646497516195205     
   1.7951958020513104      -0.43388373911755801       0.69595277712387438     
   1.8949289021652722      -0.60380441032547749       0.67076535793114134     
   1.9946620022792338      -0.74978120296773421       0.62083983811517340     
   2.0943951023931957      -0.86602540378443882       0.54742578969948474     
   2.1941282025071573      -0.94792734616713181       0.45295976538764288     
   2.2938613026211190      -0.99223920660017206       0.34089545871052040     
   2.3935944027350806      -0.99720379718118013       0.21550583298675338     
   2.4933275028490423      -0.96262424695001203        8.1668160187924027E-002
   2.5930606029630039      -0.88987180881146866       -5.5360559123673277E-002
   2.6927937030769655      -0.78183148246802991      -0.19017186188839871     
   2.7925268031909276      -0.64278760968653892      -0.31743205006562580     
   2.8922599033048892      -0.47825397862131780      -0.43210025670464086     
   2.9919930034188509      -0.29475517441090388      -0.52963179377038117     
   3.0917261035328125       -9.9567846595816412E-002 -0.60616009158882400     
   3.1914592036467742        9.9567846595816800E-002 -0.65865084051396761     
   3.2911923037607358       0.29475517441090426      -0.68502268167309277     
   3.3909254038746974       0.47825397862131813      -0.68422989947937574     
   3.4906585039886591       0.64278760968653914      -0.65630395320110479     
   3.5903916041026207       0.78183148246802958      -0.60235225423892458     
   3.6901247042165828       0.88987180881146888      -0.52451426092355491     
   3.7898578043305444       0.96262424695001214      -0.42587664152527799     
   3.8895909044445061       0.99720379718118013      -0.31035087346614537     
   3.9893240045584677       0.99223920660017206      -0.18251813395222360     
   4.0890571046724293       0.94792734616713170       -4.7447633394094607E-002
   4.1887902047863914       0.86602540378443826        8.9504404220956263E-002
   4.2885233049003526       0.74978120296773432       0.22290714251115398     
   4.3882564050143147       0.60380441032547683       0.34747049264448143     
   4.4879895051282759       0.43388373911755845       0.45825489193094909     
   4.5877226052422380       0.24675739769029323       0.55086718226413889     
   4.6874557053561992        4.9845885660697725E-002  0.62163482075556475     
   4.7871888054701612      -0.14904226617617466       0.66775151387376774     
   4.8869219055841233      -0.34202014332566966       0.68738849861497731     
   4.9866550056980845      -0.52143520337949811       0.67976705308589502     
   5.0863881058120466      -0.68017273777092002       0.64518934521099991     
   5.1861212059260078      -0.81193800571585639       0.58502634649699159     
   5.2858543060399699      -0.91150585231167336       0.50166314462252259     
   5.3855874061539311      -0.97492791218182351       0.39840343168384251     
   5.4853205062678931      -0.99968918200081625       0.27933601099268668     
   5.5850536063818552      -0.98480775301220791       0.14916671834821449     
   5.6847867064958164      -0.93087374864420425        1.3020057854185229E-002
   5.7845198066097785      -0.84002592315077096      -0.12377786801921351     
   5.8842529067237397      -0.71586684925971844      -0.25588265913774622     
   5.9839860068377018      -0.56332005806362140      -0.37784895297818388     
   6.0837191069516630      -0.38843479627469496      -0.48285896616444207     
   6.1834522070656250      -0.19814614319939708      -0.55689912727829349     
   6.2831853071795862       -4.8985871965894128E-016 -0.55689912727829349     
