x,y,f,u,ue,e
x,y,f,u,ue,e
0.84375,0.0625,-1.8153151765,0.0920388422,0.0919649412,0.000073901
0.875,0.0625,-1.473686575,0.0747178274,0.0746578341,5.99933689279E-05
0.90625,0.0625,-1.1178655662,0.0566772392,0.0566317312,0.000045508
0.9375,0.0625,-0.7512789009,0.0380908181,0.0380602337,3.05843542555E-05
0.96875,0.0625,-0.3774570091,0.0191375616,0.0191221955,1.53661694337E-05
1,0.0625,-5E-16,0,0,0
0,0.09375,0,0,0,0
0.03125,0.09375,19.1775715823,0.0236565953,0.0245466239,-0.0008900287
0.0625,0.09375,-1.1178655662,0.0566772392,0.0566317312,0.000045508
0.09375,0.09375,-21.4025370583,0.0891520503,0.0881714438,0.0009806064
0.125,0.09375,-2.1927721857,0.1111764038,0.1110871367,8.92671433061E-05
0.15625,0.09375,17.0381102818,0.1321300678,0.1329329996,-0.0008029318
0.1875,0.09375,-3.1834117997,0.1614031216,0.1612735258,0.0001295958
0.21875,0.09375,-23.3742758854,0.1891217751,0.1880608997,0.0010608753
0.25,0.09375,-4.0517146836,0.2054272079,0.2052622638,0.0001649442
0.28125,0.09375,15.3098667455,0.2197542645,0.22048684,-0.0007325755
0.3125,0.09375,-4.7643124444,0.2415568419,0.2413628881,0.0001939538
0.34375,0.09375,-24.792608701,0.2610330949,0.2599144796,0.0011186153
0.375,0.09375,-5.2938203498,0.2684035819,0.2681880719,0.0002155099
0.40625,0.09375,14.2559503853,0.2731891957,0.2738788665,-0.0006896709
0.4375,0.09375,-5.619889708,0.2849357227,0.2847069386,0.0002287841
0.46875,0.09375,-25.4416071913,0.293938163,0.2927931272,0.0011450358
0.5,0.09375,-5.7299898564,0.2905179435,0.2902846773,0.0002332663
0.53125,0.09375,14.0368104131,0.2842998775,0.2849806272,-0.0006807497
0.5625,0.09375,-5.619889708,0.2849357227,0.2847069386,0.0002287841
0.59375,0.09375,-25.2224672191,0.2828274812,0.2816913665,0.0011361147
0.625,0.09375,-5.2938203498,0.2684035819,0.2681880719,0.0002155099
0.65625,0.09375,14.6858089033,0.2513948093,0.2521019796,-0.0007071703
0.6875,0.09375,-4.7643124444,0.2415568419,0.2413628881,0.0001939538
0.71875,0.09375,-24.1685508588,0.22939255,0.22829934,0.0010932101
0.75,0.09375,-4.0517146836,0.2054272079,0.2052622638,0.0001649442
0.78125,0.09375,16.104141719,0.1794834895,0.1802483997,-0.0007649102
0.8125,0.09375,-3.1834117997,0.1614031216,0.1612735258,0.0001295958
0.84375,0.09375,-22.4403073225,0.1417683533,0.1407454996,0.0010228537
0.875,0.09375,-2.1927721857,0.1111764038,0.1110871367,8.92671433253E-05
0.90625,0.09375,18.075880546,0.0795137647,0.0803589438,-0.0008451791
0.9375,0.09375,-1.1178655662,0.0566772392,0.0566317312,0.000045508
0.96875,0.09375,-20.300846022,0.0332948808,0.0323591239,0.0009357569
1,0.09375,-3.94E-14,0,0,0
0,0.125,0,0,0,0
0.03125,0.125,-0.7404085571,0.0375396775,0.0375095357,3.0141825586E-05
0.0625,0.125,-1.473686575,0.0747178274,0.0746578341,5.99933689149E-05
0.09375,0.125,-2.1927721857,0.1111764038,0.1110871367,8.92671433061E-05
0.125,0.125,-2.8907402015,0.1465642906,0.1464466094,0.0001176812
0.15625,0.125,-3.5608688089,0.1805406832,0.1803957213,0.000144962
0.1875,0.125,-4.1967043031,0.2127783704,0.2126075237,0.0001708467
0.21875,0.125,-4.7921232407,0.2429668855,0.2427717995,0.000195086
0.25,0.125,-5.3413914119,0.2708154966,0.2705980501,0.0002174466
0.28125,0.125,-5.8392190638,0.2960560065,0.2958182935,0.000237713
0.3125,0.125,-6.2808118442,0.3184453352,0.3181896451,0.0002556901
0.34375,0.125,-6.661916973,0.3377678613,0.3374966565,0.0002712048
0.375,0.125,-6.9788641996,0.3538374982,0.3535533906,0.0002841076
0.40625,0.125,-7.228601149,0.3664994866,0.3662052122,0.0002942743
0.4375,0.125,-7.4087227177,0.3756318846,0.3753302775,0.000301607
0.46875,0.125,-7.5174942366,0.3811467421,0.380840707,0.0003060351
0.5,0.125,-7.5538681766,0.3829909482,0.3826834324,0.0003075159
0.53125,0.125,-7.5174942366,0.3811467421,0.380840707,0.0003060351
0.5625,0.125,-7.4087227177,0.3756318846,0.3753302775,0.000301607
0.59375,0.125,-7.228601149,0.3664994866,0.3662052122,0.0002942743
0.625,0.125,-6.9788641996,0.3538374982,0.3535533906,0.0002841076
0.65625,0.125,-6.661916973,0.3377678613,0.3374966565,0.0002712048
0.6875,0.125,-6.2808118442,0.3184453352,0.3181896451,0.0002556901
0.71875,0.125,-5.8392190638,0.2960560065,0.2958182935,0.000237713
0.75,0.125,-5.3413914119,0.2708154966,0.2705980501,0.0002174466
0.78125,0.125,-4.7921232407,0.2429668855,0.2427717995,0.000195086
0.8125,0.125,-4.1967043031,0.2127783704,0.2126075237,0.0001708467
0.84375,0.125,-3.5608688089,0.1805406832,0.1803957213,0.000144962
0.875,0.125,-2.8907402015,0.1465642906,0.1464466094,0.0001176812
0.90625,0.125,-2.1927721857,0.1111764038,0.1110871367,8.92671433268E-05
0.9375,0.125,-1.473686575,0.0747178274,0.0746578341,5.99933689298E-05
0.96875,0.125,-0.7404085571,0.0375396775,0.0375095357,3.0141825594E-05
1,0.125,-9E-16,0,0,0
0,0.15625,0,0,0,0
0.03125,0.15625,-20.6512581574,0.0510612322,0.0501112101,0.000950022
0.0625,0.15625,-1.8153151765,0.0920388422,0.0919649412,0.000073901
0.09375,0.15625,17.0381102818,0.1321300678,0.1329329996,-0.0008029318
0.125,0.15625,-3.5608688089,0.1805406832,0.1803957213,0.000144962
0.15625,0.15625,-24.1255547863,0.2272125932,0.2261211335,0.0010914597
0.1875,0.15625,-5.1695802498,0.2621044471,0.2618939949,0.0002104522
0.21875,0.15625,13.8361801705,0.2944720919,0.295144674,-0.0006725821
0.25,0.15625,-6.5796276209,0.333595684,0.3333278292,0.0002678548
0.28125,0.15625,-26.9320700015,0.3695065674,0.3683008552,0.0012057121
0.3125,0.15625,-7.7368235924,0.3922670259,0.391952062,0.0003149639
0.34375,0.15625,11.5329326572,0.4112497386,0.4118285562,-0.0005788176
0.375,0.15625,-8.5966977722,0.435863766,0.4355137968,0.0003499692
0.40625,0.15625,-28.6435373026,0.4562801871,0.4550048016,0.0012753855
0.4375,0.15625,-9.1262056776,0.462710506,0.4623389807,0.0003715253
0.46875,0.15625,10.479016297,0.4646846698,0.4652205827,-0.0005359129
0.5,0.15625,-9.3049986169,0.4717755407,0.4713967368,0.0003788039
0.53125,0.15625,-28.9994013074,0.4743229553,0.4730330827,0.0012898726
0.5625,0.15625,-9.1262056776,0.462710506,0.4623389807,0.0003715253
0.59375,0.15625,10.8348803018,0.4466419016,0.4471923016,-0.0005504
0.625,0.15625,-8.5966977722,0.435863766,0.4355137968,0.0003499692
0.65625,0.15625,-27.9454849471,0.4208880241,0.4196410562,0.001246968
0.6875,0.15625,-7.7368235924,0.3922670259,0.391952062,0.0003149639
0.71875,0.15625,12.5463476028,0.3598682818,0.3604883552,-0.0006200734
0.75,0.15625,-6.5796276209,0.333595684,0.3333278292,0.0002678548
0.78125,0.15625,-25.6422374339,0.3041103774,0.302957174,0.0011532034
0.8125,0.15625,-5.1695802498,0.2621044471,0.2618939949,0.0002104522
0.84375,0.15625,15.352862818,0.2175743076,0.2183086335,-0.0007343259
0.875,0.15625,-3.5608688089,0.1805406832,0.1803957213,0.000144962
0.90625,0.15625,-22.4403073225,0.1417683533,0.1407454996,0.0010228537
0.9375,0.15625,-1.8153151765,0.0920388422,0.0919649412,0.000073901
0.96875,0.15625,18.827159447,0.0414229466,0.0422987101,-0.0008757635
1,0.15625,3.75E-14,1E-16,1E-16,0
0,0.1875,0,0,0,0
0.03125,0.1875,-1.0749066194,0.0544991646,0.0544554055,4.37591482894E-05
0.0625,0.1875,-2.1394613005,0.1084734725,0.1083863757,8.70968720604E-05
0.09375,0.1875,-3.1834117997,0.1614031216,0.1612735258,0.0001295958
0.125,0.1875,-4.1967043031,0.2127783704,0.2126075237,0.0001708467
0.15625,0.1875,-5.1695802498,0.2621044471,0.2618939949,0.0002104522
0.1875,0.1875,-6.0926703128,0.3089063147,0.3086582838,0.0002480309
0.21875,0.1875,-6.9570846301,0.3527332457,0.3524500247,0.000283221
