k rms rms/rms0 
1 10.56660417335542 0.7333856556105322 
2 10.088500466869986 0.7002023930904124 
3 9.918530410453469 0.6884054525393969 
4 9.809828295293979 0.6808608742922514 
5 9.713736621096093 0.6741915362225968 
6 9.620781250599595 0.6677398764257819 
7 9.5291285682725 0.6613786309949732 
8 9.43841650482142 0.6550826701513176 
9 9.348570078247565 0.6488467896947294 
10 9.259569797931098 0.6426696368593842 
11 9.171406623233926 0.6365505841708173 
12 9.084073333989977 0.630489130506233 
13 8.99756291278598 0.6244847888150945 
14 8.911868301727042 0.618537069237198 
15 8.82698239488051 0.6126454785782313 
16 8.742898056618193 0.6068095215828341 
17 8.659608138677873 0.6010287021187686 
18 8.577105494764103 0.5953025241903028 
19 8.495382992680202 0.5896304927802436 
20 8.414433523875665 0.5840121145125842 
21 8.334250010747912 0.5784468981592891 
22 8.254825412251138 0.5729343550295825 
23 8.176152728271585 0.5674739992736175 
24 8.09822500307217 0.5620653481215546 
25 8.021035328008995 0.5567079220721038 
26 7.944576843671154 0.5514012450410394 
27 7.868842741563842 0.5461448444780184 
28 7.793826265428679 0.5409382514582187 
29 7.719520712273677 0.5357810007538252 
30 7.645919433168665 0.5306726308892368 
31 7.573015833849621 0.5256126841830107 
32 7.500803375166433 0.5206007067789399 
33 7.429275573401131 0.51563624866814 
34 7.35842600047867 0.5107188637036792 
35 7.288248284087394 0.5058481096089394 
36 7.218736107723718 0.5010235479807166 
37 7.149883210672182 0.49624474428783727 
38 7.081683387930199 0.4915112678659351 
39 7.01413049008551 0.4868226919089456 
40 6.94721842315243 0.48217859345774094 
41 6.880941148372288 0.4775785533862788 
42 6.815292681982674 0.47302215638558714 
43 6.750267094959228 0.4685089909458425 
44 6.685858512733271 0.46403864933677197 
45 6.622061114888118 0.4596107275865759 
46 6.558869134836594 0.45522482545954485 
47 6.496276859481959 0.4508805464325264 
48 6.434278628864141 0.44657749767037114 
49 6.37286883579301 0.44231529000048003 
50 6.312041925470345 0.43809353788656646 
51 6.251792395101839 0.4339118594017272 
52 6.192114793500356 0.4297698762009058 
53 6.133003720681773 0.42566721349284187 
54 6.074453827454277 0.4216035000115656 
55 6.0164598150022375 0.41757836798751646 
56 5.9590164344653545 0.41359145311833295 
57 5.902118486514199 0.409642394539393 
58 5.84576082092241 0.40573083479412164 
59 5.789938336136759 0.40185641980415104 
60 5.734645978845251 0.3980187988393442 
61 5.679878743544138 0.3942176244877428 
62 5.625631672104152 0.39045255262546147 
63 5.5718998533365935 0.38672324238657146 
64 5.518678422559596 0.3830293561329971 
65 5.465962561165022 0.37937055942445563 
66 5.4137474961863665 0.375746520988467 
67 5.362028499867938 0.37215691269045265 
68 5.310800889235638 0.36860140950394504 
69 5.260060025669731 0.365079689480935 
70 5.2098013144796385 0.36159143372236024 
71 5.16002020448114 0.35813632634876064 
72 5.110712187576222 0.35471405447111676 
73 5.061872798335543 0.35132430816187094 
74 5.013497613583959 0.34796678042615986 
75 4.96558225198902 0.34464116717325416 
76 4.918122373652714 0.3413471671882225 
77 4.8711136797065295 0.3380844821038271 
78 4.824551911909927 0.33485281637265457 
79 4.778432852252333 0.33165187723949263 
80 4.732752322558675 0.3284813747139512 
81 4.687506184098672 0.3253410215433453 
82 4.642690337199683 0.3222305331858242 
83 4.598300720863438 0.3191496277837702 
84 4.554333312386501 0.3160980261374567 
85 4.510784126984534 0.3130754516789697 
86 4.467649217420429 0.31008163044639797 
87 4.424924673636277 0.30711629105828964 
88 4.382606622389171 0.30417916468837436 
89 4.3406912268908995 0.3012699850405563 
90 4.299174686451429 0.29838848832416953 
91 4.258053236126347 0.29553441322950846 
92 4.217323146367938 0.29270750090361014 
93 4.176980722680304 0.28990749492631823 
94 4.137022305278016 0.2871341412865906 
95 4.0974442687487365 0.2843871883590839 
96 4.058243021719447 0.2816663868809874 
97 4.019415006526407 0.27897148992911636 
98 3.9809566988888037 0.27630225289726124 
99 3.9428646075859706 0.27365843347378477 
100 3.905135274138262 0.2710397916194728 
101 3.867765272491444 0.268446089545629 
102 3.8307512087045863 0.26587709169241286 
103 3.7940897206414754 0.2633325647074218 
104 3.7577774776653836 0.26081227742450624 
105 3.721811180337288 0.2583160008428244 
106 3.686187560117395 0.2558435081061261 
107 3.6509033790699674 0.2533945744822662 
108 3.6159554295714127 0.250968977342944 
109 3.5813405340215856 0.24856649614366588 
110 3.547055544558206 0.2461869124039244 
111 3.5130973427744894 0.24383000968760005 
112 3.4794628394397327 0.24149557358356813 
113 3.446148974223051 0.2391833916865246 
114 3.413152715419997 0.23689325357801175 
115 3.3804710596822054 0.23462495080765378 
116 3.3481010317498616 0.2323782768745888 
117 3.316039684187112 0.23015302720910447 
118 3.284284097120209 0.22794899915446387 
119 3.2528313779784637 0.22576599194892585 
120 3.2216786612379593 0.2236038067079575 
121 3.1908231081678813 0.2214622464066276 
122 3.160261906579591 0.21934111586219115 
123 3.1299922705782346 0.2172402217168493 
124 3.100011440316963 0.21515937242069094 
125 3.070316681753695 0.21309837821481037 
126 3.0409052864103483 0.21105705111459674 
127 3.011774571134541 0.20903520489319452 
128 2.982921877863758 0.2070326550651353 
129 2.9543445733918663 0.20504921887013255 
130 2.926040049137995 0.20308471525704058 
131 2.8980057209177486 0.2011389648679752 
132 2.8702390287167097 0.1992117900225936 
133 2.8427374364661984 0.19730301470253067 
134 2.8154984318212484 0.19541246453598918 
135 2.7885195259407984 0.1935399667824838 
136 2.761798253270036 0.19168535031773437 
137 2.7353321713248824 0.18984844561870798 
138 2.7091188604785703 0.18802908474880606 
139 2.683155923750329 0.18622710134319792 
140 2.657440986596093 0.18444233059429477 
141 2.6319716967012456 0.18267460923736462 
142 2.606745723775368 0.180923775536287 
143 2.5817607593489513 0.17918966926944319 
144 2.5570145165720413 0.17747213171574125 
145 2.5325047300148316 0.17577100564077583 
146 2.5082291554701452 0.17408613528311923 
147 2.4841855697577646 0.17241736634074076 
148 2.4603717705306662 0.17076454595755824 
149 2.436785576083024 0.16912752271011236 
150 2.413424825160048 0.1675061465943682 
151 2.3902873767696113 0.1659002690126411 
152 2.3673711099956334 0.16430974276064442 
153 2.3446739238131933 0.16273442201465707 
154 2.322193736905386 0.1611741623188125 
155 2.299928487481847 0.159628820572503 
156 2.277876133099033 0.1580982550179063 
157 2.2560346504820363 0.15658232522761817 
158 2.234402035348194 0.15508089209241013 
159 2.21297630223221 0.1535938178090917 
160 2.191755484312938 0.15212096586848806 
161 2.170737633241733 0.15066220104352676 
162 2.149920818972399 0.14921738937743498 
163 2.129303129592673 0.14778639817204348 
164 2.108882671157245 0.1463690959761973 
165 2.0886575675223287 0.14496535257427387 
166 2.068625960181711 0.14357503897480395 
167 2.0487860081043046 0.1421980273991967 
168 2.0291358875731746 0.1408341912705673 
169 2.0096737920260432 0.13948340520266678 
170 1.9903979318972018 0.13814554498891013 
171 1.9713065344608955 0.13682048759150592 
172 1.9523978436760996 0.13550811113068303 
173 1.9336701200327124 0.1342082948740155 
